subject_num,iteration,c7_disp/cm,sa_disp/cm,time/s,accuracy/cm,parameter,cost
4,25,13.87,4.5,1.45,0.45,1.33,106.23
4,26,11.44,4.65,1.85,0.48,1.37,76.24
4,27,10.92,4.3,3.5,0.29,1.43,68.85
4,28,12.42,4.55,2.34,0.51,1.49,87.54
4,29,11.85,3.87,2.1,0.39,1.48,77.73
4,30,13.09,4.98,1.61,0.36,1.44,98.15
4,31,12.68,3.71,1.81,0.34,1.39,87.29
4,32,15.7,3.96,1.55,0.28,1.34,131.1
4,33,14.84,4.14,1.64,0.4,1.33,118.64
4,34,13.45,4.91,1.48,0.3,1.37,102.55
4,35,11.54,5.14,1.71,0.29,1.43,79.82
4,36,11.91,5.27,1.29,2.46,1.49,84.78
4,37,11.28,4.18,2.36,0.38,1.51,72.39
4,38,10.97,5.04,1.84,0.43,1.49,72.88
4,39,8.3,5.45,1.59,0.34,1.45,49.27
4,40,10.61,5.22,1.64,0.49,1.43,69.84
4,41,11.49,5.25,1.63,0.32,1.44,79.82
4,42,12.53,5.83,1.8,0.45,1.48,95.47
4,43,12.63,5.29,1.78,0.42,1.53,93.77
4,44,11.59,5.49,1.64,0.51,1.56,82.27
4,45,7.61,5.14,1.57,0.31,1.56,42.17
4,46,7.61,4.71,1.77,0.3,1.52,40.07
4,47,9.09,5.39,1.84,0.24,1.43,55.81
4,48,8.3,4.77,1.49,0.3,1.39,45.8
4,49,12.22,5.74,1.49,0.41,1.4,91.08
4,50,11.54,4.87,1.62,0.38,1.45,78.46
4,51,8.93,5.64,1.25,1,1.52,55.77
4,52,10.97,5.14,2.08,0.36,1.6,73.38
4,53,11.49,4.46,1.97,0.57,1.65,75.95
4,54,8.46,4.51,1.72,0.13,1.65,45.94
4,55,11.49,4.75,1.98,0.38,1.64,77.3
4,56,8.19,4.2,1.68,0.19,1.65,42.38
4,57,8.25,4.08,1.46,0.45,1.69,42.33
4,58,8.3,4.51,1.22,0.22,1.73,44.62
4,59,7.08,4.36,1.12,0.69,1.79,34.59
4,60,7.61,4.14,1.66,0.43,1.86,37.55
4,61,5.07,4.36,1.48,0.48,1.87,22.34
4,62,6.08,4.16,1.69,0.32,1.83,27.13
4,63,6.66,4.79,1.78,0.44,1.77,33.65
4,64,7.45,4.57,1.67,0.53,1.72,38.24
4,65,8.72,4.36,1.61,0.16,1.71,47.51
