subject_num,iteration,c7_disp/cm,sa_disp/cm,time/s,accuracy/cm,parameter,cost
2,72,2.36460214744489,4.33777632590725,4.05,0.21,1.65,9.40815172680071
2,73,1.32112221076135,3.58853233281751,4.74,0.2,1.7,6.43878215183833
2,74,1.93562712756069,4.89107204268638,4.47,0.15,1.7,11.9612928633742
2,75,0.929537176479407,3.93479183058242,4.68,0.25,1.7,7.74129337500908
2,76,0.705635519472555,4.31701869207121,4.68,0.25,1.7,9.31832519384613
2,77,-1.37650704759605,2.5406626498801,5.11,0.4,1.75,3.2274833502479
2,78,0.174426771652231,5.4617861992826,5.25,0.21,1.75,14.9155542433369
2,79,-0.734105049302338,4.73337150298681,4.75,0.24,1.75,11.2024028926438
2,80,-1.52496011815487,3.3355313785558,4.72,0.47,1.75,5.56288478866517
2,81,1.4095832507472,4.64113170621263,5.74,0.3,1.8,10.7700517572061
2,82,0.997242584837797,4.1706489025651,4.29,0.34,1.8,8.69715613423374
2,83,-0.216237644594974,3.43795678926667,5.15,0.19,1.8,5.90977344243238
2,84,-0.486335778707809,3.66498979171188,4.26,0.39,1.8,6.71607508667616
2,85,0.202386206028799,4.63253993508351,4.55,0.24,1.85,10.7302131250718
2,86,-0.998781322023371,3.70927863290279,5.73,0.3,1.85,6.87937398825458
2,87,0.93107595638495,3.67091684647424,5.22,0.34,1.85,6.73781524686419
2,88,0.889528574916521,4.59734027643374,4.98,0.3,1.85,10.5677688086599
2,89,1.01801545147983,4.34242288659301,3.69,0.12,1.9,9.42831826300339
2,90,-1.20419309219646,3.30966308745039,3.83,0.19,1.9,5.47693487621583
2,91,-0.428623484676596,3.86071487498612,5.59,0.21,1.9,7.45255967296953
2,92,0.325252890278809,3.74606772112958,5.23,0.44,1.9,7.01651168564448
2,93,-0.132744023852319,3.56886303222744,4.3,0.36,1.95,6.3683916713998
2,94,-0.345003727980154,3.82147530770457,5.03,0.34,1.95,7.30183676369789
2,95,-1.76491557974433,3.34538694165316,4.29,0.29,1.95,5.59580689469175
